,base_market,quote_market,hedge_ratio,half_life
0,UMA-USD,SOL-USD,0.020872336049754085,12.0
1,UMA-USD,XMR-USD,0.013241358995715378,11.0
2,SOL-USD,DOGE-USD,1184.4875070326775,11.0
3,SOL-USD,CRV-USD,171.89462625641312,23.0
4,SOL-USD,ADA-USD,177.50215647838166,18.0
5,SOL-USD,EOS-USD,127.18162567303807,20.0
6,SOL-USD,ATOM-USD,9.672367787468632,12.0
7,ZEC-USD,CRV-USD,42.67805728659307,23.0
8,ZEC-USD,ENJ-USD,73.01157006406466,17.0
9,ZEC-USD,SUSHI-USD,21.077297028177984,22.0
10,AAVE-USD,LINK-USD,7.269205907897548,9.0
11,AAVE-USD,YFI-USD,0.013421731394482083,15.0
12,AAVE-USD,COMP-USD,1.9259803255128938,12.0
13,AAVE-USD,MATIC-USD,117.86888233615315,9.0
14,AAVE-USD,DOT-USD,13.545791885330042,7.0
15,AAVE-USD,ZRX-USD,308.6829622441065,6.0
16,AAVE-USD,SUSHI-USD,89.82109905805065,20.0
17,AAVE-USD,AVAX-USD,2.8174675096918733,8.0
18,AAVE-USD,SNX-USD,28.59041233051,8.0
19,AAVE-USD,UNI-USD,15.540645295804772,15.0
20,AAVE-USD,XLM-USD,861.4579925343586,14.0
21,AAVE-USD,EOS-USD,134.52315537753404,14.0
22,AAVE-USD,ATOM-USD,10.227064536368763,9.0
23,LINK-USD,YFI-USD,0.0018462654910398524,14.0
24,LINK-USD,COMP-USD,0.26483406360670747,23.0
25,LINK-USD,DOT-USD,1.862908697914881,11.0
26,LINK-USD,ZRX-USD,42.45093295117948,11.0
27,LINK-USD,AVAX-USD,0.3875443777212771,8.0
28,LINK-USD,SNX-USD,3.9315637639563716,14.0
29,LINK-USD,ATOM-USD,1.4067856683896507,7.0
30,BCH-USD,YFI-USD,0.03217540369602839,15.0
31,BCH-USD,SNX-USD,68.4870398639,22.0
32,BCH-USD,LTC-USD,3.6359053890433968,14.0
33,XMR-USD,DOGE-USD,1868.2974602363358,11.0
34,XMR-USD,CRV-USD,271.24635468078844,16.0
35,XMR-USD,ZRX-USD,460.4086433189607,11.0
36,XMR-USD,XLM-USD,1285.4012449203744,12.0
37,XMR-USD,EOS-USD,200.6381645693393,22.0
38,XMR-USD,ATOM-USD,15.255960542566298,11.0
39,YFI-USD,SNX-USD,2128.3065604069693,17.0
40,YFI-USD,LTC-USD,112.96013112175372,14.0
41,RUNE-USD,NEAR-USD,1.4215745888563678,9.0
42,DOGE-USD,CRV-USD,0.14517236531579353,18.0
43,DOGE-USD,SUSHI-USD,0.0717035052047723,24.0
44,DOGE-USD,UNI-USD,0.012404736589929912,22.0
45,DOGE-USD,XLM-USD,0.6878862741612709,12.0
46,DOGE-USD,EOS-USD,0.10740636982318916,18.0
47,DOGE-USD,ATOM-USD,0.008164774747085704,12.0
48,COMP-USD,DOT-USD,7.0282975053063605,19.0
49,COMP-USD,ADA-USD,97.41703786464534,20.0
50,COMP-USD,ZRX-USD,160.1935171177015,13.0
51,MATIC-USD,DOT-USD,0.11488902397559163,10.0
52,MATIC-USD,ZRX-USD,2.618227696066334,8.0
53,MATIC-USD,EOS-USD,1.1413456060264493,7.0
54,CRV-USD,ZRX-USD,1.696250719252806,14.0
55,CRV-USD,AVAX-USD,0.015481294868264463,17.0
56,CRV-USD,ATOM-USD,0.056197131558348344,22.0
57,NEAR-USD,AVAX-USD,0.0951924307081381,12.0
58,DOT-USD,ADA-USD,13.858170826962995,4.0
59,DOT-USD,ZRX-USD,22.781767400021756,9.0
60,DOT-USD,SUSHI-USD,6.629915582035587,22.0
61,DOT-USD,AVAX-USD,0.20799524869036676,5.0
62,DOT-USD,SNX-USD,2.109898280262449,11.0
63,DOT-USD,ATOM-USD,0.7548327281905453,13.0
64,ADA-USD,ZRX-USD,1.64389941991694,9.0
65,ADA-USD,SUSHI-USD,0.4784414501448835,20.0
66,ADA-USD,AVAX-USD,0.015007540703946432,5.0
67,ADA-USD,ATOM-USD,0.05446411873091341,16.0
68,ENJ-USD,SUSHI-USD,0.28876866702338366,12.0
69,ENJ-USD,UNI-USD,0.049953820922697956,14.0
70,ZRX-USD,SUSHI-USD,0.2908432286348547,22.0
71,ZRX-USD,AVAX-USD,0.009123743483844754,8.0
72,ZRX-USD,SNX-USD,0.09257458510848353,9.0
73,ZRX-USD,UNI-USD,0.05032743851464757,16.0
74,ZRX-USD,EOS-USD,0.43574671990089914,8.0
75,ZRX-USD,ATOM-USD,0.03311981174157836,9.0
76,SUSHI-USD,AVAX-USD,0.031325505251218966,19.0
77,SUSHI-USD,UNI-USD,0.17293302045494932,9.0
78,SUSHI-USD,EOS-USD,1.4964206349318467,15.0
79,AVAX-USD,SNX-USD,10.140440922536824,12.0
80,AVAX-USD,UNI-USD,5.511530656653984,20.0
81,AVAX-USD,XLM-USD,305.6326562302695,12.0
82,AVAX-USD,ATOM-USD,3.628712105419715,7.0
83,UNI-USD,EOS-USD,8.650927848617048,13.0
